date,price,volume,item
Mar 27 2015 01: +0,30.84,11,Galil AR | Chatterbox (Field-Tested)
Mar 28 2015 01: +0,29.437,13,Galil AR | Chatterbox (Field-Tested)
Mar 29 2015 01: +0,26.611,16,Galil AR | Chatterbox (Field-Tested)
Mar 30 2015 01: +0,23.009,16,Galil AR | Chatterbox (Field-Tested)
Mar 31 2015 01: +0,26.572,17,Galil AR | Chatterbox (Field-Tested)
Apr 01 2015 01: +0,26.507,22,Galil AR | Chatterbox (Field-Tested)
Apr 02 2015 01: +0,28.117,12,Galil AR | Chatterbox (Field-Tested)
Apr 03 2015 01: +0,29.434,15,Galil AR | Chatterbox (Field-Tested)
Apr 04 2015 01: +0,26.741,13,Galil AR | Chatterbox (Field-Tested)
Apr 05 2015 01: +0,28.826,12,Galil AR | Chatterbox (Field-Tested)
Apr 06 2015 01: +0,27.564,12,Galil AR | Chatterbox (Field-Tested)
Apr 07 2015 01: +0,26.413,13,Galil AR | Chatterbox (Field-Tested)
Apr 08 2015 01: +0,24.922,13,Galil AR | Chatterbox (Field-Tested)
Apr 09 2015 01: +0,26.882,10,Galil AR | Chatterbox (Field-Tested)
Apr 10 2015 01: +0,25.945,13,Galil AR | Chatterbox (Field-Tested)
Apr 11 2015 01: +0,23.663,24,Galil AR | Chatterbox (Field-Tested)
Apr 12 2015 01: +0,21.797,18,Galil AR | Chatterbox (Field-Tested)
Apr 13 2015 01: +0,23.195,23,Galil AR | Chatterbox (Field-Tested)
Apr 14 2015 01: +0,23.499,15,Galil AR | Chatterbox (Field-Tested)
Apr 15 2015 01: +0,24.431,13,Galil AR | Chatterbox (Field-Tested)
Apr 16 2015 01: +0,17.907,20,Galil AR | Chatterbox (Field-Tested)
Apr 17 2015 01: +0,18.103,28,Galil AR | Chatterbox (Field-Tested)
Apr 18 2015 01: +0,17.544,21,Galil AR | Chatterbox (Field-Tested)
Apr 19 2015 01: +0,19.57,21,Galil AR | Chatterbox (Field-Tested)
Apr 20 2015 01: +0,16.636,28,Galil AR | Chatterbox (Field-Tested)
