date,price,volume,sticker
Jul 18 2022 01: +0,0.03,9422,Sticker | FaZe Clan | Antwerp 2022
Jul 19 2022 01: +0,0.03,6879,Sticker | FaZe Clan | Antwerp 2022
Jul 20 2022 01: +0,0.03,5748,Sticker | FaZe Clan | Antwerp 2022
Jul 21 2022 01: +0,0.03,6717,Sticker | FaZe Clan | Antwerp 2022
Jul 22 2022 01: +0,0.03,6499,Sticker | FaZe Clan | Antwerp 2022
Jul 23 2022 01: +0,0.03,8002,Sticker | FaZe Clan | Antwerp 2022
Jul 24 2022 01: +0,0.03,6767,Sticker | FaZe Clan | Antwerp 2022
Jul 25 2022 01: +0,0.03,6710,Sticker | FaZe Clan | Antwerp 2022
Jul 26 2022 01: +0,0.03,6679,Sticker | FaZe Clan | Antwerp 2022
Jul 27 2022 01: +0,0.03,6268,Sticker | FaZe Clan | Antwerp 2022
Jul 28 2022 01: +0,0.03,6081,Sticker | FaZe Clan | Antwerp 2022
Jul 29 2022 01: +0,0.03,5516,Sticker | FaZe Clan | Antwerp 2022
Jul 30 2022 01: +0,0.03,6269,Sticker | FaZe Clan | Antwerp 2022
Jul 31 2022 01: +0,0.03,6657,Sticker | FaZe Clan | Antwerp 2022
Aug 01 2022 01: +0,0.03,6517,Sticker | FaZe Clan | Antwerp 2022
Aug 02 2022 01: +0,0.03,6986,Sticker | FaZe Clan | Antwerp 2022
Aug 03 2022 01: +0,0.03,7099,Sticker | FaZe Clan | Antwerp 2022
Aug 04 2022 01: +0,0.03,7494,Sticker | FaZe Clan | Antwerp 2022
Aug 05 2022 01: +0,0.03,5802,Sticker | FaZe Clan | Antwerp 2022
Aug 06 2022 01: +0,0.03,6231,Sticker | FaZe Clan | Antwerp 2022
Aug 07 2022 01: +0,0.03,7180,Sticker | FaZe Clan | Antwerp 2022
Aug 08 2022 01: +0,0.03,7378,Sticker | FaZe Clan | Antwerp 2022
Aug 09 2022 01: +0,0.03,3473,Sticker | FaZe Clan | Antwerp 2022
Aug 10 2022 01: +0,0.03,6172,Sticker | FaZe Clan | Antwerp 2022
Aug 11 2022 01: +0,0.03,5519,Sticker | FaZe Clan | Antwerp 2022
Aug 12 2022 01: +0,0.03,5157,Sticker | FaZe Clan | Antwerp 2022
Aug 13 2022 01: +0,0.03,5936,Sticker | FaZe Clan | Antwerp 2022
Aug 14 2022 01: +0,0.03,4576,Sticker | FaZe Clan | Antwerp 2022
Aug 15 2022 01: +0,0.03,5037,Sticker | FaZe Clan | Antwerp 2022
Aug 16 2022 01: +0,0.03,5562,Sticker | FaZe Clan | Antwerp 2022
Aug 17 2022 01: +0,0.03,6354,Sticker | FaZe Clan | Antwerp 2022
Aug 18 2022 01: +0,0.03,5373,Sticker | FaZe Clan | Antwerp 2022
Aug 19 2022 01: +0,0.03,4419,Sticker | FaZe Clan | Antwerp 2022
Aug 20 2022 01: +0,0.03,4383,Sticker | FaZe Clan | Antwerp 2022
Aug 21 2022 01: +0,0.03,4947,Sticker | FaZe Clan | Antwerp 2022
Aug 22 2022 01: +0,0.03,4025,Sticker | FaZe Clan | Antwerp 2022
Aug 23 2022 01: +0,0.03,5158,Sticker | FaZe Clan | Antwerp 2022
Aug 24 2022 01: +0,0.03,4266,Sticker | FaZe Clan | Antwerp 2022
Aug 25 2022 01: +0,0.03,4982,Sticker | FaZe Clan | Antwerp 2022
Aug 26 2022 01: +0,0.03,3958,Sticker | FaZe Clan | Antwerp 2022
Aug 27 2022 01: +0,0.03,3966,Sticker | FaZe Clan | Antwerp 2022
Aug 28 2022 01: +0,0.03,4574,Sticker | FaZe Clan | Antwerp 2022
Aug 29 2022 01: +0,0.03,3694,Sticker | FaZe Clan | Antwerp 2022
Aug 30 2022 01: +0,0.03,3599,Sticker | FaZe Clan | Antwerp 2022
Aug 31 2022 01: +0,0.03,4158,Sticker | FaZe Clan | Antwerp 2022
Sep 01 2022 01: +0,0.03,3571,Sticker | FaZe Clan | Antwerp 2022
Sep 02 2022 01: +0,0.03,3757,Sticker | FaZe Clan | Antwerp 2022
Sep 03 2022 01: +0,0.03,3657,Sticker | FaZe Clan | Antwerp 2022
Sep 04 2022 01: +0,0.03,3716,Sticker | FaZe Clan | Antwerp 2022
Sep 05 2022 01: +0,0.03,4126,Sticker | FaZe Clan | Antwerp 2022
Sep 06 2022 01: +0,0.03,2789,Sticker | FaZe Clan | Antwerp 2022
Sep 07 2022 01: +0,0.03,2970,Sticker | FaZe Clan | Antwerp 2022
Sep 08 2022 01: +0,0.03,3443,Sticker | FaZe Clan | Antwerp 2022
Sep 09 2022 01: +0,0.03,3858,Sticker | FaZe Clan | Antwerp 2022
Sep 10 2022 01: +0,0.03,4034,Sticker | FaZe Clan | Antwerp 2022
Sep 11 2022 01: +0,0.03,4725,Sticker | FaZe Clan | Antwerp 2022
Sep 12 2022 01: +0,0.03,3758,Sticker | FaZe Clan | Antwerp 2022
Sep 13 2022 01: +0,0.03,3184,Sticker | FaZe Clan | Antwerp 2022
Sep 14 2022 01: +0,0.03,3422,Sticker | FaZe Clan | Antwerp 2022
Sep 15 2022 01: +0,0.03,3009,Sticker | FaZe Clan | Antwerp 2022
Sep 16 2022 01: +0,0.03,3535,Sticker | FaZe Clan | Antwerp 2022
Sep 17 2022 01: +0,0.03,3832,Sticker | FaZe Clan | Antwerp 2022
Sep 18 2022 01: +0,0.03,3569,Sticker | FaZe Clan | Antwerp 2022
Sep 19 2022 01: +0,0.03,2963,Sticker | FaZe Clan | Antwerp 2022
Sep 20 2022 01: +0,0.03,3037,Sticker | FaZe Clan | Antwerp 2022
Sep 21 2022 01: +0,0.03,3145,Sticker | FaZe Clan | Antwerp 2022
Sep 22 2022 01: +0,0.03,4527,Sticker | FaZe Clan | Antwerp 2022
Sep 23 2022 01: +0,0.03,3254,Sticker | FaZe Clan | Antwerp 2022
Sep 24 2022 01: +0,0.03,4740,Sticker | FaZe Clan | Antwerp 2022
Sep 25 2022 01: +0,0.03,5335,Sticker | FaZe Clan | Antwerp 2022
Sep 26 2022 01: +0,0.03,2962,Sticker | FaZe Clan | Antwerp 2022
Sep 27 2022 01: +0,0.03,3516,Sticker | FaZe Clan | Antwerp 2022
Sep 28 2022 01: +0,0.03,3580,Sticker | FaZe Clan | Antwerp 2022
Sep 29 2022 01: +0,0.03,3331,Sticker | FaZe Clan | Antwerp 2022
Sep 30 2022 01: +0,0.03,3786,Sticker | FaZe Clan | Antwerp 2022
Oct 01 2022 01: +0,0.03,4480,Sticker | FaZe Clan | Antwerp 2022
Oct 02 2022 01: +0,0.03,4666,Sticker | FaZe Clan | Antwerp 2022
Oct 03 2022 01: +0,0.03,4765,Sticker | FaZe Clan | Antwerp 2022
Oct 04 2022 01: +0,0.03,5607,Sticker | FaZe Clan | Antwerp 2022
Oct 05 2022 01: +0,0.03,7039,Sticker | FaZe Clan | Antwerp 2022
Oct 06 2022 01: +0,0.03,6804,Sticker | FaZe Clan | Antwerp 2022
Oct 07 2022 01: +0,0.03,3185,Sticker | FaZe Clan | Antwerp 2022
