sticker,observations,min_price,max_price,price_range_percent,daily_return_sd_percent,annualized_volatility_percent,average_absolute_daily_move_percent,days_with_moves_above_5_percent,share_of_days_above_5_percent,biggest_daily_gain_percent,biggest_daily_loss_percent
Sticker | Cloud9 | Boston 2018,3030,0.232,5.573,2302.155172413793,8.134380774104017,155.40712648077394,5.071989861700466,1015,33.4983498349835,51.90040099389604,-57.005345796632426
Sticker | FaZe Clan | Antwerp 2022,2006,0.03,0.154,413.33333333333337,12.962303340634332,247.64445760310542,5.540290528800516,569,28.364905284147557,91.62907318741551,-131.7301489632939
Sticker | Natus Vincere | Stockholm 2021,2191,0.03,0.548,1726.666666666667,13.979997023412702,267.08746811248784,8.2973325956355,1045,47.69511638521223,98.08292530117264,-135.23928094442095
Sticker | iBUYPOWER | Katowice 2014,697,4.783,1618.099,33730.21116454108,14.746330754328667,281.7282534843847,9.686716966937343,413,59.25394548063127,124.00713591169085,-116.85710156707492
