date,price,volume,item
Apr 06 2020 01: +0,699.649,1,★ Paracord Knife | Fade (Factory New)
Apr 10 2020 01: +0,829.451,1,★ Paracord Knife | Fade (Factory New)
Apr 13 2020 01: +0,806.471,1,★ Paracord Knife | Fade (Factory New)
Apr 14 2020 01: +0,766.242,1,★ Paracord Knife | Fade (Factory New)
Apr 16 2020 01: +0,775.852,1,★ Paracord Knife | Fade (Factory New)
Apr 20 2020 01: +0,798.131,1,★ Paracord Knife | Fade (Factory New)
Apr 24 2020 01: +0,856.565,1,★ Paracord Knife | Fade (Factory New)
Apr 25 2020 01: +0,764.152,1,★ Paracord Knife | Fade (Factory New)
Apr 26 2020 01: +0,798.865,1,★ Paracord Knife | Fade (Factory New)
Apr 28 2020 01: +0,780.176,1,★ Paracord Knife | Fade (Factory New)
Apr 30 2020 01: +0,857.482,1,★ Paracord Knife | Fade (Factory New)
May 02 2020 01: +0,830.266,2,★ Paracord Knife | Fade (Factory New)
May 06 2020 01: +0,818.358,2,★ Paracord Knife | Fade (Factory New)
May 07 2020 01: +0,836.171,1,★ Paracord Knife | Fade (Factory New)
May 12 2020 01: +0,847.385,2,★ Paracord Knife | Fade (Factory New)
May 13 2020 01: +0,859.591,1,★ Paracord Knife | Fade (Factory New)
May 17 2020 01: +0,911.918,1,★ Paracord Knife | Fade (Factory New)
May 23 2020 01: +0,855.926,1,★ Paracord Knife | Fade (Factory New)
May 30 2020 01: +0,942.398,1,★ Paracord Knife | Fade (Factory New)
May 31 2020 01: +0,942.265,1,★ Paracord Knife | Fade (Factory New)
Jun 01 2020 01: +0,824.173,1,★ Paracord Knife | Fade (Factory New)
Jun 06 2020 01: +0,969.565,1,★ Paracord Knife | Fade (Factory New)
Jun 09 2020 01: +0,1179.956,1,★ Paracord Knife | Fade (Factory New)
Jun 12 2020 01: +0,905.932,1,★ Paracord Knife | Fade (Factory New)
Jun 19 2020 01: +0,857.231,1,★ Paracord Knife | Fade (Factory New)
Jun 21 2020 01: +0,825.679,1,★ Paracord Knife | Fade (Factory New)
Jun 26 2020 01: +0,1156.131,2,★ Paracord Knife | Fade (Factory New)
Jun 27 2020 01: +0,1284.81,1,★ Paracord Knife | Fade (Factory New)
Jul 04 2020 01: +0,1273.629,1,★ Paracord Knife | Fade (Factory New)
Jul 07 2020 01: +0,1220.989,1,★ Paracord Knife | Fade (Factory New)
Jul 08 2020 01: +0,1261.893,1,★ Paracord Knife | Fade (Factory New)
Jul 09 2020 01: +0,1103.808,1,★ Paracord Knife | Fade (Factory New)
Jul 13 2020 01: +0,1080.903,1,★ Paracord Knife | Fade (Factory New)
Jul 15 2020 01: +0,1176.427,2,★ Paracord Knife | Fade (Factory New)
Jul 19 2020 01: +0,1240.431,1,★ Paracord Knife | Fade (Factory New)
Aug 04 2020 01: +0,1262.581,1,★ Paracord Knife | Fade (Factory New)
Aug 07 2020 01: +0,898.159,3,★ Paracord Knife | Fade (Factory New)
Aug 10 2020 01: +0,818.99,1,★ Paracord Knife | Fade (Factory New)
Aug 11 2020 01: +0,1304.406,1,★ Paracord Knife | Fade (Factory New)
Aug 14 2020 01: +0,909.868,2,★ Paracord Knife | Fade (Factory New)
Aug 15 2020 01: +0,848.467,1,★ Paracord Knife | Fade (Factory New)
Aug 18 2020 01: +0,745.198,1,★ Paracord Knife | Fade (Factory New)
Aug 19 2020 01: +0,840.543,2,★ Paracord Knife | Fade (Factory New)
Aug 20 2020 01: +0,992.922,1,★ Paracord Knife | Fade (Factory New)
Aug 21 2020 01: +0,823.619,1,★ Paracord Knife | Fade (Factory New)
Aug 26 2020 01: +0,805.392,1,★ Paracord Knife | Fade (Factory New)
Aug 27 2020 01: +0,821.45,1,★ Paracord Knife | Fade (Factory New)
Aug 28 2020 01: +0,810.408,1,★ Paracord Knife | Fade (Factory New)
Aug 29 2020 01: +0,810.633,3,★ Paracord Knife | Fade (Factory New)
Aug 31 2020 01: +0,931.53,1,★ Paracord Knife | Fade (Factory New)
Sep 03 2020 01: +0,819.994,2,★ Paracord Knife | Fade (Factory New)
Sep 04 2020 01: +0,860.966,1,★ Paracord Knife | Fade (Factory New)
Sep 06 2020 01: +0,826.232,2,★ Paracord Knife | Fade (Factory New)
Sep 07 2020 01: +0,865.806,1,★ Paracord Knife | Fade (Factory New)
Sep 12 2020 01: +0,839.985,3,★ Paracord Knife | Fade (Factory New)
Sep 13 2020 01: +0,804.426,1,★ Paracord Knife | Fade (Factory New)
Sep 19 2020 01: +0,823.607,1,★ Paracord Knife | Fade (Factory New)
Sep 21 2020 01: +0,824.745,1,★ Paracord Knife | Fade (Factory New)
Sep 24 2020 01: +0,819.039,1,★ Paracord Knife | Fade (Factory New)
Sep 27 2020 01: +0,816.576,1,★ Paracord Knife | Fade (Factory New)
Sep 28 2020 01: +0,794.331,1,★ Paracord Knife | Fade (Factory New)
Sep 30 2020 01: +0,784.337,2,★ Paracord Knife | Fade (Factory New)
Oct 01 2020 01: +0,791.469,1,★ Paracord Knife | Fade (Factory New)
