case,observations,min_price,max_price,price_range_percent,daily_return_sd_percent,annualized_volatility_percent,average_absolute_daily_move_percent,days_with_moves_above_5_percent,share_of_days_above_5_percent,biggest_daily_gain_percent,biggest_daily_loss_percent
Chroma Case,4831,0.03,8.601,28570.000000000004,4.647635970446777,88.79296054042587,2.9867059446851165,849,17.574001241978888,34.91842722095747,-53.15006230969078
Operation Breakout Weapon Case,5022,0.03,12.008,39926.666666666664,3.1287854310183234,59.775361728505395,1.424730323630326,330,6.5710872162485074,37.42125646040599,-45.92678141011407
Revolver Case,4497,0.03,7.015,23283.333333333336,3.6994525644746563,70.67794200478187,1.5811735470292607,401,8.91705581498777,67.20937713621129,-72.25121313139276
