date,price,volume,case
Oct 01 2014 01: +0,0.517,54187,Operation Breakout Weapon Case
Oct 02 2014 01: +0,0.518,51552,Operation Breakout Weapon Case
Oct 03 2014 01: +0,0.484,57502,Operation Breakout Weapon Case
Oct 04 2014 01: +0,0.5,55192,Operation Breakout Weapon Case
Oct 05 2014 01: +0,0.495,52164,Operation Breakout Weapon Case
Oct 06 2014 01: +0,0.517,41624,Operation Breakout Weapon Case
Oct 07 2014 01: +0,0.554,40904,Operation Breakout Weapon Case
Oct 08 2014 01: +0,0.571,40011,Operation Breakout Weapon Case
Oct 09 2014 01: +0,0.587,41193,Operation Breakout Weapon Case
Oct 10 2014 01: +0,0.622,47973,Operation Breakout Weapon Case
Oct 11 2014 01: +0,0.605,50480,Operation Breakout Weapon Case
Oct 12 2014 01: +0,0.538,46522,Operation Breakout Weapon Case
Oct 13 2014 01: +0,0.526,40242,Operation Breakout Weapon Case
Oct 14 2014 01: +0,0.519,39170,Operation Breakout Weapon Case
Oct 15 2014 01: +0,0.53,40088,Operation Breakout Weapon Case
Oct 16 2014 01: +0,0.53,39208,Operation Breakout Weapon Case
Oct 17 2014 01: +0,0.542,46745,Operation Breakout Weapon Case
Oct 18 2014 01: +0,0.523,48402,Operation Breakout Weapon Case
Oct 19 2014 01: +0,0.465,44802,Operation Breakout Weapon Case
Oct 20 2014 01: +0,0.45,38618,Operation Breakout Weapon Case
Oct 21 2014 01: +0,0.452,37107,Operation Breakout Weapon Case
Oct 22 2014 01: +0,0.447,38938,Operation Breakout Weapon Case
Oct 23 2014 01: +0,0.45,41977,Operation Breakout Weapon Case
Oct 24 2014 01: +0,0.476,50610,Operation Breakout Weapon Case
Oct 25 2014 01: +0,0.456,49102,Operation Breakout Weapon Case
Oct 26 2014 01: +0,0.425,51596,Operation Breakout Weapon Case
Oct 27 2014 01: +0,0.421,40958,Operation Breakout Weapon Case
Oct 28 2014 01: +0,0.416,40991,Operation Breakout Weapon Case
